species,gtdb_id,description,gram_stain,cell_shape,motility,Alkaline phosphatase,Esterase,Esterase Lipase,Lipase,Leucine arylamidase,Valine arylamidase,Cystine arylamidase,Trypsin,alpha- Chymotrypsin,Acid phosphatase,Naphthol-AS-BI-phosphohydrolase,alpha- Galactosidase,beta- Galactosidase,beta- Glucuronidase,alpha- Glucosidase,beta- Glucosidase,N-acetyl-beta- glucosaminidase,alpha- Mannosidase,alpha- Fucosidase,GLY,ERY,DARA,LARA,RIB,DXYL,LXYL,ADO,MDX,GAL,GLU,FRU,MNE,SBE,RHA,DUL,INO,MAN,SOR,MDM,MDG,NAG,AMY,ARB,ESC,SAL,CEL,MAL,LAC,MEL,SAC,TRE,INU,MLZ,RAF,AMD,GLYG,XLT,GEN,TUR,LYX,TAG,DFUC,LFUC,DARL,LARL,GNT,2KG,5KG,NIT,PYZ,PYRA,PAL,beta GUR,beta GAL,alpha GLU,beta NAG,URE,GEL,XYL,NO3,TRP,GLU_ Ferm,ADH Arg,PNPG,GLU_ Assim,ARA,CAP,ADI,MLT,CIT,PAC,OX,ONPG,LDC Lys,ODC,H2S,TDA Trp,IND,VP,Sor,NO2,N2,MTE,LTE,MbGa,MaGa,MbGu,PLE,FUC,MTL,HBG,3MDG,SAT,MUC,LTAT,DTAT,MTAT,DMLT,LMLT,CATE,TATE,TTE,GRT,GAT,TRY,PAT,pOBE,QAT,GTE,mOBE,BAT,PPAT,CMT,TGE,BET,PCE,ABT,HIN,LAT,CYT,HIS,SUC,FUM,GRE,GYT,AVT,ETN,TTN,GLN,ITA,3OBU,APT,GTT,PRO,DALA,LALA,SER,MNT,PROP,TYR,2KT,MAC,CAT,Q,MOB,OF-O,OF-F,genome_path
Mycobacterium scrofulaceum,GCF_002086735.1,"Mycobacterium scrofulaceum 12238 is an obligate aerobe, mesophilic, rod-shaped human pathogen that was isolated from cervical lymph node .",,rod-shaped,no,-,+,+,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/086/735/GCF_002086735.1_genomic.fna.gz
Neisseria shayeganii,GCF_000226875.1,"Neisseria shayeganii 871 is a microaerophile, mesophilic, Gram-negative bacterium that was isolated from patient's sputum.","['negative', 'negative']","[None, None]","['no', 'no']",-,+,+,-,+,-,-,-,-,+,+,+,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/226/875/GCF_000226875.1_genomic.fna.gz
Moraxella caprae,GCF_000426885.1,"Moraxella caprae 8897 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from goat, nasal cavity.",negative,rod-shaped,no,-,+,+,-,+,-,-,+,-,+,+,-,-,-,+,-,-,-,-,-,-,,,-,,,-,,-,-,-,-,-,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/426/885/GCF_000426885.1_genomic.fna.gz
Rhodococcus koreensis,GCF_900105905.1,"Rhodococcus koreensis DNP 505 is an obligate aerobe, mesophilic, Gram-positive bacterium that was isolated from industrial wastewater.",positive,rod-shaped,no,,,,,,,,,,,,,,,,,,,,-,-,,,-,,,-,,+,"['-', '+']",+,+,-,+,-,+,"['-', '+']",+,,-,+,,,-,,-,-,"['-', '+']",+,"['-', '+']",+,,+,+,,-,-,-,+,-,-,,,+,-,+,-,+,-,-,-,-,-,+,+,-,+,-,-,,,,,,,-,-,,,+,+,,,,,,,,,,,,-,+,+,+,-,+,-,-,-,-,+,-,+,-,+,+,+,+,+,-,-,-,-,+,+,+,+,+,+,+,+,-,+,+,+,+,+,-,-,+,+,+,-,+,+,+,-,-,+,-,+,+,+,-,-,+,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/105/905/GCF_900105905.1_genomic.fna.gz
Chryseosolibacter indicus,GCF_018598585.1,Chryseosolibacter indicus PWu 9393 is a bacterium that was isolated from soil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-,,,,+,,,+,,,+,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,+,,-,-,-,-,+,+,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/018/598/585/GCF_018598585.1_genomic.fna.gz
Lactiplantibacillus mudanjiangensis,GCF_005405385.1,"Lactiplantibacillus mudanjiangensis 11050 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from From traditional pickle.","['positive', None, 'positive', 'positive']","[None, None, None, None]","['no', 'no', None, 'no']",,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,+,+,+,+,+,-,-,-,+,+,-,-,+,-,+,+,+,+,+,+,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/005/405/385/GCF_005405385.1_genomic.fna.gz
Alicyclobacillus acidiphilus,GCF_001544355.1,"Alicyclobacillus acidiphilus TA-67 is an aerobe, spore-forming, thermophilic bacterium that forms circular colonies and was isolated from acidic beverage, that was off-flavored.","['positive', 'positive']","[None, None]","['yes', 'no']",-,+,+,-,+,-,-,+,-,-,-,+,-,-,+,+,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/544/355/GCF_001544355.1_genomic.fna.gz
Pacificibacter maritimus,GCF_003814915.1,"Pacificibacter maritimus DSM 104731 is a mesophilic, Gram-negative bacterium that was isolated from sandy sediment sample, seashore.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,+,,,,-,,,+,,,+,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,-,,-,-,-,-,+,+,-,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/814/915/GCF_003814915.1_genomic.fna.gz
Paracoccus sanguinis,GCF_900106665.1,"Paracoccus sanguinis 05503 is a mesophilic, Gram-negative bacterium that was isolated from blood from human patient.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-,,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,-,,,-,-,-,-,-,+,-,-,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/106/665/GCF_900106665.1_genomic.fna.gz
Pedobacter caeni,GCF_900129215.1,"Pedobacter caeni DSM 16990 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from nitrifying inoculum.","['negative', 'negative']","[None, None]","['no', 'no']",+,+,+,-,+,-,-,+,-,+,+,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/129/215/GCF_900129215.1_genomic.fna.gz
Staphylococcus pragensis,GCF_004785665.1,"Staphylococcus pragensis NRL/St 12/356 is an aerobe, mesophilic bacterium that was isolated from Ejaculate .",,,,-,+,+,-,-,-,-,-,-,+,-,-,-,-,+,+,-,-,-,,,,,-,,,,,,+,,,,,,,-,,,,,,,-,,,+,-,,+,,,,,,-,,,,,,,,,,,,,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/004/785/665/GCF_004785665.1_genomic.fna.gz
Brevibacterium aurantiacum,GCF_900169065.1,"Brevibacterium aurantiacum KC is an obligate aerobe, mesophilic, Gram-positive bacterium that was isolated from camembert cheese.",positive,rod-shaped,no,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/169/065/GCF_900169065.1_genomic.fna.gz
Vibrio coralliilyticus,GCF_000176135.1,"Vibrio coralliilyticus YB is a Gram-negative, motile, rod-shaped bacterium that was isolated from Bleached tissue of coral, Pocillopora damicornis.",negative,rod-shaped,yes,+,+,+,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,+,-,,,+,,,+,,+,+,+,+,-,+,+,+,+,+,,+,+,,,+,,+,+,+,+,+,+,,-,+,,,-,+,+,+,+,,,+,+,+,+,-,,,,,,,,,,,+,,,,,,,+,-,,,-,-,,,,,,,,,,,,+,+,+,-,+,+,+,+,-,-,-,-,-,-,-,+,+,+,+,-,+,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,+,-,-,+,-,-,+,-,-,+,+,+,+,+,+,-,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/176/135/GCF_000176135.1_genomic.fna.gz
Planotetraspora silvatica,GCF_016863315.1,"Planotetraspora silvatica TT 00-51 is an aerobe, spore-forming, mesophilic bacterium that was isolated from forest soil.",positive,,,+,+,+,-,+,+,+,+,-,+,+,+,+,-,+,+,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/016/863/315/GCF_016863315.1_genomic.fna.gz
Paeniglutamicibacter gangotriensis,GCF_000348945.1,"Paeniglutamicibacter gangotriensis Lz1y is an aerobe, mesophilic, Gram-positive bacterium that was isolated from soil.","['positive', 'positive']","[None, None]","['no', 'no']",,,,,,,,,,,,,,,,,,,,+,-,,,-,,,-,,-,+,+,+,-,-,-,-,+,-,,-,-,,,-,,+,+,-,-,"['+', '-']",-,,-,-,,,-,-,-,-,-,,,-,-,+,-,+,,+,+,+,-,-,+,-,+,+,-,,,,,,,-,-,,,+,+,,,,,,,,,,,,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,+,+,-,+,-,+,+,-,+,+,-,-,+,-,+,+,+,-,+,+,-,-,-,-,-,-,+,+,+,+,+,-,+,+,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/348/945/GCF_000348945.1_genomic.fna.gz
Mycobacterium simiae,GCF_010727605.1,"Mycobacterium simiae 14 102 0001 is an obligate aerobe, mesophilic, oval-shaped human pathogen that was isolated from Indian monkey .",,oval-shaped,no,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,-,,,,,,,-,,,,,,,-,,,-,-,,-,,,,,,-,,,,,,,,,,,,,-,+,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/010/727/605/GCF_010727605.1_genomic.fna.gz
Nocardia arthritidis,GCF_001612765.1,"Nocardia arthritidis DSM 44731 is an obligate aerobe, mesophilic, Gram-positive bacterium that builds an aerial mycelium and was isolated from human sputum.",positive,rod-shaped,no,,,,,,,,,,,,,,,,,,,,-,-,,,-,,,-,,-,-,-,-,-,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,-,-,-,,-,-,+,+,+,+,-,-,-,-,,,,,,,-,-,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/612/765/GCF_001612765.1_genomic.fna.gz
Salinicola salarius,GCF_003206135.1,"Salinicola salarius M27 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from seawater.","['negative', 'negative', 'negative']","[None, None, None]","['yes', None, 'no']",+,-,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,+/-,-,+/-,-,-,-,+/-,+/-,+/-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+/-,-,-,-,-,-,-,-,-,-,-,-,-,+/-,-,+/-,-,+/-,-,+/-,-,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/206/135/GCF_003206135.1_genomic.fna.gz
Paenibacillus apiarius,GCF_026794045.1,"Paenibacillus apiarius BX 3 is a facultative anaerobe, spore-forming, mesophilic bacterium that was isolated from bee larvae.",positive,rod-shaped,yes,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,-,-,+,-,-,-,-,+,+,-,-,-,-,-,+,-,-,-,+,+,+,+,+,+,+,+,-,+,+,+,-,-,+,+,+,-,+,+,-,-,-,-,-,-,+,-,-,,,,,,,,,,,-,,,,,,,-,-,,,+,-,,,,,,,,,,,,+,-,-,-,+,+,-,+,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/026/794/045/GCF_026794045.1_genomic.fna.gz
Caulobacter vibrioides,GCF_002858865.1,"Caulobacter vibrioides CB 51 is a mesophilic, Gram-negative, motile bacterium of the family Caulobacteraceae.",negative,rod-shaped,yes,+,-,+,-,+,+,+,+,-,+,+,+,+,-,+,+,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/858/865/GCF_002858865.1_genomic.fna.gz
Actinoplanes humidus,GCF_016862215.1,"Actinoplanes humidus LA 6 is an aerobe, spore-forming, mesophilic bacterium that was isolated from sediment.",,,,+,+,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,+,,,,,+,,,,,,,+,,,+,+,+,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/016/862/215/GCF_016862215.1_genomic.fna.gz
Pseudomonas thivervalensis,GCF_001269655.1,"Pseudomonas thivervalensis CCUG 54622 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from rhizoplane of Brassica napus.",negative,rod-shaped,yes,-,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,+,,,,,+,,,,+,,,-,,,-,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,-,+,,+,-,-,-,-,+,+,+,-,+,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/269/655/GCF_001269655.1_genomic.fna.gz
Aestuariimicrobium kwangyangense,GCF_000421525.1,"Aestuariimicrobium kwangyangense R27 is an aerobe, mesophilic, Gram-positive bacterium that was isolated from oil-contaminated tidal flat sediment.","['positive', 'positive', 'positive']","[None, None, None]","['no', None, 'no']",-,+,+,-,+,-,-,+,-,+,-,+,+,+,+,+,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/421/525/GCF_000421525.1_genomic.fna.gz
Serratia fonticola,GCF_001006005.1,"Serratia fonticola 2.78 is a facultative anaerobe, mesophilic, Gram-negative bacterium that was isolated from water.",negative,rod-shaped,yes,+,+,+,-,+,+,-,+,-,+,+,+,+,+,+,+,+,-,-,+,"['+/-', '+']",-,+,+,+,-,+,-,+,+,+,+,-,+,+,+,+,+,-,+,+,"['+', '-']",+,+,+,-,+,+,+,"['-', '+']",+,-,-,"['+', '-']",-,-,"['-', '+']",+,"['+/-', '+']",-,+,-,-,+,+,+,"['+/-', '+']",-,,,,,,,,,-,-,+,,,,-,,,+,-,,,+,+,-,+,+,+,-,-,-,-,+,,,+,+,+,+,+,+,-,+,-,+,+,+,-,+,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,+,-,-,-,+,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,+,-,-,+,+,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/006/005/GCF_001006005.1_genomic.fna.gz
Fructobacillus ficulneus,GCF_001047075.2,"Fructobacillus ficulneus FS-1 is an obligate aerobe, mesophilic, Gram-positive bacterium that was isolated from ripe fig.",positive,rod-shaped,no,-,-,-,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/047/075/GCF_001047075.2_genomic.fna.gz
Vibrio litoralis,GCF_000426765.1,"Vibrio litoralis MANO22D is a facultative anaerobe, mesophilic, Gram-negative bacterium that was isolated from seawater.","['negative', 'negative', 'negative']","[None, None, None]","['yes', None, 'no']",+,+,-,-,+,-,+,-,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,-,,,,,-,,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,-,-,,+,-,+,-,-,-,-,+,-,+,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/426/765/GCF_000426765.1_genomic.fna.gz
Rhizorhapis suberifaciens,GCF_014200045.1,"Rhizorhapis suberifaciens CA1 is a mesophilic, Gram-negative, motile plant pathogen that was isolated from Lactuca sativa, corky roots.",negative,rod-shaped,yes,+,+,+,-,+,+,-,+,-,+,-,-,+,-,+,+,-,-,-,,,,,,,,,,,,,-,,,,,-,,,,-,,,+,,,-,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,-,,+,-,-,-,+,-,+,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/014/200/045/GCF_014200045.1_genomic.fna.gz
Helicobacter pametensis,GCF_000518225.1,"Helicobacter pametensis B9 is a microaerophile, mesophilic, Gram-negative bacterium that was isolated from Tern faeces.",negative,rod-shaped,yes,+,+,+,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/518/225/GCF_000518225.1_genomic.fna.gz
Paenibacillus xylanilyticus,GCF_013359935.1,"Paenibacillus xylanilyticus XIL14 is a facultative anaerobe, spore-forming, mesophilic bacterium that was isolated from air.","['positive', 'positive']","[None, None]","['yes', 'yes']",+,+,+,-,-,-,-,-,+,+,-,+,+,+,+,+,-,-,-,+,-,+/-,+,+,+,-,-,+,+,+,+,+,-,+,-,+,+,+/-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,-,-,-,+,-,-,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/013/359/935/GCF_013359935.1_genomic.fna.gz
Achromobacter aegrifaciens,GCF_902859735.1,"Achromobacter aegrifaciens LiPuma AU4014 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from human sputum.",negative,rod-shaped,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-,,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,-,-,,+,-,-,-,-,-,-,+,+,+,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/902/859/735/GCF_902859735.1_genomic.fna.gz
Lederbergia lenta,GCF_001591545.1,"Lederbergia lenta 670 is an aerobe, spore-forming, mesophilic bacterium that was isolated from soil.",positive,rod-shaped,yes,+,+,+,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,"['-', '+']",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['-', '+']",-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['+', '-']",-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,+,-,-,,,,-,,,-,-,,,-,-,,+,-,-,-,-,-,+,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/591/545/GCF_001591545.1_genomic.fna.gz
