species,gtdb_id,family,description,gram_stain,cell_shape,motility,Alkaline phosphatase,Esterase,Esterase Lipase,Lipase,Leucine arylamidase,Valine arylamidase,Cystine arylamidase,Trypsin,alpha- Chymotrypsin,Acid phosphatase,Naphthol-AS-BI-phosphohydrolase,alpha- Galactosidase,beta- Galactosidase,beta- Glucuronidase,alpha- Glucosidase,beta- Glucosidase,N-acetyl-beta- glucosaminidase,alpha- Mannosidase,alpha- Fucosidase,GLY,ERY,DARA,LARA,RIB,DXYL,LXYL,ADO,MDX,GAL,GLU,FRU,MNE,SBE,RHA,DUL,INO,MAN,SOR,MDM,MDG,NAG,AMY,ARB,ESC,SAL,CEL,MAL,LAC,MEL,SAC,TRE,INU,MLZ,RAF,AMD,GLYG,XLT,GEN,TUR,LYX,TAG,DFUC,LFUC,DARL,LARL,GNT,2KG,5KG,NIT,PYZ,PYRA,PAL,beta GUR,beta GAL,alpha GLU,beta NAG,URE,GEL,XYL,NO3,TRP,GLU_ Ferm,ADH Arg,PNPG,GLU_ Assim,ARA,CAP,ADI,MLT,CIT,PAC,OX,ONPG,LDC Lys,ODC,H2S,TDA Trp,IND,VP,Sor,NO2,N2,MTE,LTE,MbGa,MaGa,MbGu,PLE,FUC,MTL,HBG,3MDG,SAT,MUC,LTAT,DTAT,MTAT,DMLT,LMLT,CATE,TATE,TTE,GRT,GAT,TRY,PAT,pOBE,QAT,GTE,mOBE,BAT,PPAT,CMT,TGE,BET,PCE,ABT,HIN,LAT,CYT,HIS,SUC,FUM,GRE,GYT,AVT,ETN,TTN,GLN,ITA,3OBU,APT,GTT,PRO,DALA,LALA,SER,MNT,PROP,TYR,2KT,MAC,CAT,Q,MOB,OF-O,OF-F,genome_path
Listeria welshimeri,GCF_000060285.1,Listeriaceae,"Listeria welshimeri V8 is a facultative anaerobe, mesophilic, Gram-positive bacterium that was isolated from decaying plant material.",positive,rod-shaped,yes,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,+,-,-,-,-,+,+,+,-,-,-,-,-,-,+,+,+,+,+,+,+,+,+,+,-,+,+,-,-,-,-,-,+,+,-,-,+,-,-,+,-,-,-,+,-,+,-,+,-,-,+,+,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,-,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/060/285/GCF_000060285.1_genomic.fna.gz
Pseudescherichia vulneris,GCF_000759795.1,Enterobacteriaceae,"Pseudescherichia vulneris 875-72 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from human wound.",negative,rod-shaped,yes,+,-,-,-,+,-,-,-,-,+,+,+,+,-,-,+,-,-,-,+,-,-,+,+,+,-,-,-,+,+,+,+,-,+,-,-,+,-,-,-,+,-,+,+,+,+,+,+,+,+,+,-,-,+,-,-,-,+,-,+,-,-,-,-,-,+,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/759/795/GCF_000759795.1_genomic.fna.gz
Bacillus cereus,GCF_000007825.1,Bacillaceae,"Bacillus cereus 13 is a facultative anaerobe, spore-forming, mesophilic bacterium of the family Bacillaceae.",positive,rod-shaped,yes,+,+,+,+,+,+,+,+,+,+,+,-,-,-,+,-,-,-,-,+,-,,,+,,,-,,-,+,+,-,-,-,-,-,-,-,,-,+,,,+,,+,+,-,-,+,+,,-,-,,+,-,-,-,-,-,,,-,-,+,-,-,+,+,+,+,-,-,+,+,-,+,-,,,,,,,-,-,,,+,-,,,,,,,,,,,,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,-,+,+,+,-,-,-,-,-,+,-,+,+,+,+,-,+,+,-,+,-,+,,+,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/007/825/GCF_000007825.1_genomic.fna.gz
Pseudomonas cichorii,GCF_018343775.1,Pseudomonadaceae,"Pseudomonas cichorii PC 1 is an aerobe, mesophilic, Gram-negative plant pathogen of the family Pseudomonadaceae.",negative,rod-shaped,yes,+,+,+,-,+,-,-,+,-,+,+,-,-,-,-,+,-,-,-,+,-,,,+,,,-,,+,+,+,"['-', '+']",-,-,-,+,+,-,,-,-,,,"['-', '+']",,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,+,-,+,+,-,,,,,,,,,-,-,+,-,-,-,-,-,+,+,+,-,+,+,-,+,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,+,+,-,+,+,-,+,+,+,-,-,-,-,-,+,+,+,+,-,+,+,-,+,+,+,+,+,+,-,-,-,+,+,+,+,+,+,+,+,+,-,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/018/343/775/GCF_018343775.1_genomic.fna.gz
Staphylococcus lutrae,GCF_002101335.1,Staphylococcaceae,"Staphylococcus lutrae M340/94 is an aerobe, mesophilic, Gram-positive animal pathogen that was isolated from mammary gland of otter .",positive,coccus-shaped,no,+,+,+,+,-,-,-,-,-,+,+,-,+,-,-,-,-,-,+,+,-,-,-,+,-,-,-,-,+,+,+,+,-,-,-,"['-', '+']",+,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,+,-,-,-,-,-,+,-,-,-,+,+,+,+,+,-,-,-,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/101/335/GCF_002101335.1_genomic.fna.gz
Streptococcus pyogenes,GCF_002055535.1,Streptococcaceae,"Streptococcus pyogenes SF 130 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from scarlet fever.",positive,coccus-shaped,no,+,-,-,-,+,+,+,-,-,+,+,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/055/535/GCF_002055535.1_genomic.fna.gz
Priestia megaterium,GCF_000832985.1,Bacillaceae,"Priestia megaterium 1060 is an aerobe, spore-forming, mesophilic bacterium of the family Bacillaceae.",positive,rod-shaped,no,,,,,,,,,,,,,,,,,,,,+,-,-,+,"['-', '+']",+,-,-,-,+,"['-', '+']",+,-,-,-,-,"['-', '+']","['-', '+']",+,-,"['-', '+']",+,-,-,+,-,"['-', '+']",+,"['-', '+']","['-', '+']","['+', '-']",+,-,+,+,+,"['-', '+']","['-', '+']","['-', '+']","['-', '+']",-,-,-,-,"['-', '+']",-,"['-', '+']","['-', '+']","['-', '+']",-,+,+,+,-,+,+,-,-,+,"['-', '+']",,,,-,,,"['-', '+']",-,,,"['-', '+']",-,,+,-,-,-,-,-,+,-,,,+,+,+,+,+,+,-,+,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,+,-,+,-,+,+,+,-,+,-,-,-,+,-,+,+,+,+,+,+,+,+,-,-,-,,+,-,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/832/985/GCF_000832985.1_genomic.fna.gz
Citrobacter werkmanii,GCF_000759755.1,Enterobacteriaceae,"Citrobacter werkmanii 876-58 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from human blood.",negative,rod-shaped,yes,+,+,-,-,+,+,+,+,-,+,+,-,+,-,+,-,-,-,-,+,-,+,+,+,+,-,-,-,+,+,+,+,+,+,-,-,+,+,-,-,+,-,+/-,-,-,+,+,+,-,-,+,-,-,-,-,-,-,+,-,+/-,-,-,+,-,-,+,+,-,,,,,,,,,-,-,,,,,+,,,+,,,,+,,-,+,-,-,+,-,-,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/759/755/GCF_000759755.1_genomic.fna.gz
Streptococcus sanguinis,GCF_000194945.1,Streptococcaceae,"Streptococcus sanguinis DSM 20567 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from subacute bacterial endocarditis.",positive,coccus-shaped,no,-,-,+,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/194/945/GCF_000194945.1_genomic.fna.gz
Clostridium tyrobutyricum,GCF_000359585.1,Clostridiaceae,"Clostridium tyrobutyricum DSM 2637 is an anaerobe, spore-forming, mesophilic bacterium of the family Clostridiaceae.",positive,rod-shaped,no,-,+,-,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/359/585/GCF_000359585.1_genomic.fna.gz
Helicobacter acinonychis,GCF_900461455.1,Helicobacteraceae,"Helicobacter acinonychis CIP 104247 is a microaerophile, mesophilic, Gram-negative bacterium that was isolated from Cheetah stomach,gastric biopsy.",negative,rod-shaped,yes,+,+,+,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/461/455/GCF_900461455.1_genomic.fna.gz
Streptococcus porcinus,GCF_900475415.1,Streptococcaceae,"Streptococcus porcinus 176 is a microaerophile, mesophilic, Gram-positive human pathogen that was isolated from haemorrhagic swine lymph nodes.",positive,coccus-shaped,no,+,+,+,+,+,+,+,+,+,+,+,-,-,+,+,-,-,-,-,+/-,-,-,-,+,-,-,-,-,+,+,+,+,-,-,-,-,+,+,-,+/-,+,+,+,+,+,+,+,+,-,+,+,-,+/-,-,+/-,-,-,+,+,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/475/415/GCF_900475415.1_genomic.fna.gz
Sutcliffiella halmapala,GCF_002019665.1,Bacillaceae,"Sutcliffiella halmapala PN 118 is a facultative anaerobe, spore-forming, mesophilic bacterium that was isolated from Soil.",positive,rod-shaped,yes,-,+,+,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,"['-', '+']",-,-,-,"['+', '-']",-,-,-,-,-,"['+', '-']",+,+,-,-,-,-,"['-', '+']",-,-,"['-', '+']",+,+/-,+,"['+', '-']",+,"['+/-', '+']",+,-,-,+,+,-,-,-,+,+,-,"['-', '+']",+,-,-,-,-,-,-,+,-,-,,,,,,,,,,,+,,,,,,,-,-,,,-,-,,,,,,,,,,,,+,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,+,-,+,-,+,-,-,+,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/019/665/GCF_002019665.1_genomic.fna.gz
Enterococcus asini,GCF_000407365.1,Enterococcaceae,"Enterococcus asini DSM 11492 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from cecum of donkey.",positive,coccus-shaped,no,-,+,+,-,+,-,+,-,+,+,+,-,+,-,+,+,-,-,-,-,-,-,-,-,+,-,-,-,"['+', '-']","['+', '-']",+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,"['+/-', '-']",-,-,"['+/-', '-']",-,-,-,-,-,-,"['+', '-']",-,-,-,-,-,-,-,-,-,"['+', '-']",,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/407/365/GCF_000407365.1_genomic.fna.gz
Pseudomonas trivialis,GCF_001439805.1,Pseudomonadaceae,"Pseudomonas trivialis P513/19 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from phyllosphere of grasses.",negative,rod-shaped,yes,+,+,+,+,+,+,+,+,+,+,+,-,-,-,-,+,-,-,-,+,-,,,+,,,-,,+,+,+,+,-,-,-,+,+,-,,-,-,,,"['-', '+']",,-,-,-,-,-,+,,-,-,,,-,-,-,+,-,,,+,-,+,+,-,,,,,,,,,-,-,+,-,-,-,-,-,+,+,+,-,+,+,-,+,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,+,+,+,+,-,+,+,-,+,+,+,-,-,-,-,-,-,+,+,+,-,+,+,-,+,+,+,+,+,-,-,+,-,+,+,+,+,+,+,+,+,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/439/805/GCF_001439805.1_genomic.fna.gz
Enterococcus durans,GCF_001544215.1,Enterococcaceae,"Enterococcus durans 98 D is a microaerophile, mesophilic, Gram-positive human pathogen that was isolated from dried milk.",positive,coccus-shaped,no,-,+,+,-,+,-,-,-,-,-,-,-,+,-,-,+,+,-,-,+/-,-,-,-,+,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,+,+,+,-,-,-,-,-,+/-,+/-,-,-,+,+/-,-,-,-,-,-,-,-,-,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/544/215/GCF_001544215.1_genomic.fna.gz
Salinicoccus roseus,GCF_003814515.1,Staphylococcaceae,"Salinicoccus roseus 9 is an aerobe, mesophilic, Gram-positive bacterium that was isolated from solar saltern.",positive,coccus-shaped,no,+,+,-,-,+,-,-,-,-,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/814/515/GCF_003814515.1_genomic.fna.gz
Kluyvera intermedia,GCF_900635475.1,Enterobacteriaceae,"Enterobacter intermedius E86 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from Water,surface.",negative,rod-shaped,yes,+,-,+,-,+,-,-,-,-,+,+,-,+,-,+,-,-,-,-,+,-,-,+,+,+,-,-,-,+,+,+,+,-,+,"['+/-', '+']",-,+,+,-,+,+,"['+', '+/-']",+,+,+,+,+,+,+,+,+,-,-,+,-,-,-,"['+', '-']","['+/-', '-']",-,"['+/-', '+']",-,+/-,-,-,+,+,+,,,,,,,,,-,-,+,,,,-,,,+,-,,,+,+,-,+,-,+,-,-,-,+,+,,,-,-,+,+,+,-,-,+,-,-,+,+,-,-,-,-,+,-,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,+,+,-,-,+,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/635/475/GCF_900635475.1_genomic.fna.gz
Clostridium pascui,GCF_016908015.1,Clostridiaceae,"Clostridium pascui Cm19 is an anaerobe, spore-forming, mesophilic bacterium that was isolated from soil, donkey pasture.",positive,rod-shaped,no,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,,,-,,,-,,-,-,-,-,-,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/016/908/015/GCF_016908015.1_genomic.fna.gz
Streptococcus mutans,GCF_006739205.1,Streptococcaceae,"Streptococcus mutans EML 1738 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from carious dentine.",positive,coccus-shaped,no,-,+,+,-,+,-,-,-,-,+,+,+,-,-,+,+,-,-,-,-,-,,,-,,,-,,+,+,+,-,-,-,-,-,+,+,,-,-,,,+,,-,+,+,-,+,-,,-,+,,,-,-,-,-,-,,,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/006/739/205/GCF_006739205.1_genomic.fna.gz
Buttiauxella ferragutiae,GCF_001654915.1,Enterobacteriaceae,"Buttiauxella ferragutiae 78-31 is a facultative anaerobe, mesophilic, Gram-negative bacterium that was isolated from soil.",negative,rod-shaped,yes,+,+,-,-,+,+,+,+,-,+,+,+,+,-,+,+,+,-,-,+,-,-,-,+,+,+,-,-,+,+,+,+,-,+,-,+,+,+,-,"['+', '-']",+,"['+', '-']",+,+,+,+,+,+,+,-,+,-,-,"['-', '+']",-,-,-,+,"['-', '+']",-,-,-,-,-,-,+,+,-,,,,,,,,,-,-,+,,,,-,,,+,-,,,"['+', '-']",+,-,+,+,+,-,-,-,+,+,,,+,-,+,+,+,+,-,+,-,+,+,+,-,-,-,-,+,-,-,-,+,+,-,+,+,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,+,-,+,-,-,-,+,-,-,+,+,+,+,+,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/654/915/GCF_001654915.1_genomic.fna.gz
Pseudomonas otitidis,GCF_900111835.1,Pseudomonadaceae,"Pseudomonas otitidis DSM 17224 is an obligate aerobe, mesophilic, Gram-negative bacterium that was isolated from ear of patient with acute Otitis externa.",negative,rod-shaped,yes,+,+,+,+,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/111/835/GCF_900111835.1_genomic.fna.gz
Pseudomonas umsongensis,GCF_002236105.1,Pseudomonadaceae,"Pseudomonas umsongensis Ps 3-10 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from agricultural soil.",negative,rod-shaped,yes,-,+,+,-,+,+,-,+,-,+,-,-,-,-,-,-,-,-,-,+,-,,,+,,,-,,+,+,+,+,-,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,+,+,-,,,,,,,,,,,+,,,,,,,+,+,,,+,+,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,+,+,+,-,+,+,+,+,+,+,-,-,+,-,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,-,+,-,+,+,+,+,+,+,+,+,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/236/105/GCF_002236105.1_genomic.fna.gz
Staphylococcus haemolyticus,GCF_006094395.1,Staphylococcaceae,"Staphylococcus haemolyticus SM 131 is an aerobe, mesophilic, Gram-positive human pathogen that was isolated from human skin.",positive,coccus-shaped,no,-,+,+,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,"['-', '+']",-,-,-,"['+/-', '+']",-,-,-,-,"['+', '-']",+,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,"['+', '-']",-,+,+,-,"['+/-', '-']",-,-,-,-,-,"['+/-', '+']",-,-,-,-,-,-,"['-', '+']",-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,+,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/006/094/395/GCF_006094395.1_genomic.fna.gz
Staphylococcus caprae,GCF_002902725.1,Staphylococcaceae,"Staphylococcus caprae 143.22 is a facultative anaerobe, mesophilic, Gram-positive human pathogen that was isolated from goat milk.",positive,coccus-shaped,no,,,,,,,,,,,,,,,,,,,,+,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/902/725/GCF_002902725.1_genomic.fna.gz
Pseudomonas cedrina,GCA_016937595.1,Pseudomonadaceae,"Pseudomonas cedrina DSM 17516 is an obligate aerobe, mesophilic, Gram-negative bacterium that was isolated from spring water.",negative,rod-shaped,no,-,+,+,-,+,+,-,+,-,+,+,-,-,-,-,-,-,-,-,+,+,,,+,,,+,,+,+,+,+,-,+,-,-,+,+,,-,+,,,-,,-,-,-,-,-,+,,-,-,,,+,-,-,+,-,,,+,+,+,+,-,,,,,,,,,,,+,,,,,,,+,+,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,+,-,+,+,-,+,+,+,-,-,-,-,-,+,+,+,+,-,+,+,+,+,+,+,+,-,+,-,+,-,+,+,+,+,+,+,+,+,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCA/016/937/595/GCA_016937595.1_genomic.fna.gz
Staphylococcus succinus,GCF_029024945.1,Staphylococcaceae,"Staphylococcus succinus AMG-D1 is an obligate aerobe, mesophilic, Gram-positive bacterium that was isolated from plant and soil inclusions within 25-35 million-year-old Dominican amber.",positive,coccus-shaped,no,+,+,-,-,+,-,-,-,-,+,-,-,-,+,-,+,-,-,-,"['-', '+']",-,-,+,"['+/-', '-']",+,-,-,-,"['+/-', '-']",+,+,-,-,-,-,-,+,+,-,-,+,-,+,+,+,"['+', '-']",-,+,-,+,+,-,-,-,-,-,-,+,-,-,-,-,-,-,-,"['-', '+']","['-', '+']",-,,,,,,,,,,,+,,,,,,,+,-,,,+,-,,,,,,,,,,,,-,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/029/024/945/GCF_029024945.1_genomic.fna.gz
Streptococcus hyovaginalis,GCF_000420785.1,Streptococcaceae,"Streptococcus hyovaginalis SHV515 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from pig, vagina.",positive,coccus-shaped,no,+,-,-,-,+,-,-,-,+,+,+,-,+,+,-,-,+,-,-,-,-,-,-,+,-,-,-,-,+,+,+,+,-,-,-,-,+,+,-,-,+,-,+/-,+/-,+,+,+,+,-,+,+,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/420/785/GCF_000420785.1_genomic.fna.gz
